file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\widget\io\codetail\animation\SupportAnimatorLollipop.java,org.aisen.weibo.sina.ui.widget.io.codetail.animation.SupportAnimatorLollipop,setInterpolator/1[org.aisen.weibo.sina.ui.widget.io.codetail.animation.Interpolator],a,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\widget\io\codetail\animation\SupportAnimatorLollipop.java,org.aisen.weibo.sina.ui.widget.io.codetail.animation.SupportAnimatorLollipop,setInterpolator/1[org.aisen.weibo.sina.ui.widget.io.codetail.animation.Interpolator],value,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\widget\io\codetail\animation\SupportAnimatorLollipop.java,org.aisen.weibo.sina.ui.widget.io.codetail.animation.SupportAnimatorLollipop,isRunning/0,a,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\app\src\main\java\org\aisen\weibo\sina\ui\widget\io\codetail\animation\SupportAnimatorLollipop.java,org.aisen.weibo.sina.ui.widget.io.codetail.animation.SupportAnimatorLollipop,end/0,a,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",top,2
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",selectedPosition,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",setSelected,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",i,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",position,3
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",day,4
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AisenWeiBo\datetimerpicker\src\main\java\com\fourmob\datetimepicker\date\DayPickerView.java,com.fourmob.datetimepicker.date.DayPickerView,"goTo/4[com.fourmob.datetimepicker.date.SimpleMonthAdapter.CalendarDay,boolean,boolean,boolean]",animate,1
