file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\AnimationLayoutChangesFragment.java,com.chiclaim.customview.animation.basic.AnimationLayoutChangesFragment,getLayoutId/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\AnimationLayoutChangesFragment.java,com.chiclaim.customview.animation.basic.AnimationLayoutChangesFragment,initViews/1[com.chiclaim.customview.animation.basic.View],false,31,2,1,0,1,1,4,7,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,4,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\AnimationLayoutChangesFragment.java,com.chiclaim.customview.animation.basic.AnimationLayoutChangesFragment,onClick/1[com.chiclaim.customview.animation.basic.View],false,60,2,2,0,2,3,3,8,0,0,1,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\AnimationLayoutChangesFragment.java,com.chiclaim.customview.animation.basic.AnimationLayoutChangesFragment,addButtonView/0,false,42,2,1,1,0,1,4,8,0,2,0,4,0,0,0,0,0,0,1,1,2,1,0,0,0,0,8,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\AnimationLayoutChangesFragment.java,com.chiclaim.customview.animation.basic.AnimationLayoutChangesFragment,removeButtonView/0,false,52,0,1,1,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-custom-view\CustomViewCourse\app\src\main\java\com\chiclaim\customview\animation\basic\GridLayoutAnimationFragment.java,com.chiclaim.customview.animation.basic.GridLayoutAnimationFragment$Anonymous1,onClick/1[com.chiclaim.customview.animation.basic.View],false,66,2,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\ConstTest2.java,class_load.ConstTest2,(initializer 1),false,4,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\language-java\jvm\jvm-sample\src\class_load\Son.java,class_load.Son,(initializer 1),false,4,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ipc\app\src\main\java\com\chiclaim\ipc\MainActivity.java,com.chiclaim.ipc.MainActivity,unRegisterListener/1[com.chiclaim.ipc.View],false,132,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ipc\app\src\main\java\com\chiclaim\ipc\MainActivity.java,com.chiclaim.ipc.MainActivity,connect/1[com.chiclaim.ipc.View],false,94,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
