file,class,method,variable,usage
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-rxjava\rxjava-usecase\app\src\main\java\com\chiclaim\rxjava\operator\UnSubscriptionFragment.java,com.chiclaim.rxjava.operator.UnSubscriptionFragment,"onViewCreated/2[com.chiclaim.rxjava.operator.View,com.chiclaim.rxjava.operator.Bundle]",subscription,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-ipc\app\src\main\java\com\chiclaim\ipc\service\RemoteService.java,com.chiclaim.ipc.service.RemoteService,onBind/1[com.chiclaim.ipc.service.Intent],serviceManager,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-fragment\fragment\src\main\java\com\module\chiclaim\com\fragment\MainActivity.java,com.module.chiclaim.com.fragment.MainActivity,fragmentAnimation/1[com.module.chiclaim.com.fragment.View],mFragmentAnimation,7
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,provideUsername/0,mUsername,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,provideAddMenuBalanceView/0,mView,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,"AddMenuBalancePresenterModule/3[java.lang.String,java.lang.String,com.chiclaim.dagger.sample.view.IAddMenuBalanceView]",mUsername,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,"AddMenuBalancePresenterModule/3[java.lang.String,java.lang.String,com.chiclaim.dagger.sample.view.IAddMenuBalanceView]",mView,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,"AddMenuBalancePresenterModule/3[java.lang.String,java.lang.String,com.chiclaim.dagger.sample.view.IAddMenuBalanceView]",mCategoryName,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-lib-dagger2\dagger2-sample\app\src\main\java\com\chiclaim\dagger\sample\presenter\dagger\AddMenuBalancePresenterModule.java,com.chiclaim.dagger.sample.presenter.dagger.AddMenuBalancePresenterModule,provideCategoryName/0,mCategoryName,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\launchtime\TimeRecord.java,com.chiclaim.optimization.launchtime.TimeRecord,stopRecord/1[java.lang.String],startTime,1
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\AndroidAll\android-optimization\app\src\main\java\com\chiclaim\optimization\launchtime\TimeRecord.java,com.chiclaim.optimization.launchtime.TimeRecord,startRecord/0,startTime,1
